,Age,Male_ATTICA,Female_ATTICA
1,20,7.23E-07,0.000785372
2,21,3.88E-07,0.00086288
3,22,2.15E-07,0.000881518
4,23,1.27E-07,0.000851161
5,24,8.30E-08,0.000793455
6,25,6.16E-08,0.00073099
7,26,5.39E-08,0.000680961
8,27,5.72E-08,0.000654534
9,28,7.62E-08,0.000659478
10,29,1.32E-07,0.000703653
11,30,2.98E-07,0.000798301
12,31,8.43E-07,0.000961014
13,32,2.80E-06,0.001218312
14,33,1.03E-05,0.00160705
15,34,3.92E-05,0.002172663
16,35,0.000146888,0.002961146
17,36,0.000506954,0.004002306
18,37,0.001518638,0.005286142
19,38,0.003717423,0.006742157
20,39,0.007197644,0.008237382
21,40,0.011309699,0.009604169
22,41,0.014905973,0.010691218
23,42,0.01703156,0.011413261
24,43,0.017436916,0.011773594
25,44,0.016532642,0.011851631
26,45,0.01500405,0.011768618
27,46,0.013471149,0.011652201
28,47,0.012364101,0.011613508
29,48,0.011815438,0.011738915
30,49,0.011709129,0.012091256
31,50,0.011962162,0.012713669
32,51,0.012523563,0.013630984
33,52,0.013356793,0.014846154
34,53,0.014426312,0.016331902
35,54,0.015685927,0.018020576
36,55,0.017068274,0.019798072
37,56,0.018478108,0.021509054
38,57,0.019843754,0.02297842
39,58,0.021146525,0.02404699
40,59,0.022373487,0.024610608
41,60,0.023514649,0.024647154
42,61,0.024563155,0.024220041
43,62,0.025515336,0.023457826
44,63,0.026370633,0.022520327
45,64,0.027131427,0.021565327
46,65,0.027801988,0.020725914
47,66,0.028374439,0.020101124
48,67,0.028829202,0.019756785
49,68,0.029146824,0.019731261
50,69,0.029309103,0.020041453
51,70,0.029299882,0.020686353
52,71,0.029105875,0.021647357
53,72,0.028717475,0.022886157
54,73,0.028129501,0.024342224
55,74,0.027345213,0.025932563
56,75,0.026410947,0.02755628
57,76,0.02539535,0.029105096
58,77,0.024360318,0.030478581
59,78,0.02335937,0.031600379
60,79,0.022437767,0.032430478
61,80,0.021633632,0.032969619
62,81,0.020979804,0.033254699
63,82,0.020506264,0.033347169
64,83,0.020237063,0.033318324
65,84,0.020152486,0.033235385
66,85,0.020215701,0.03315103
67,86,0.020393125,0.033097392
68,87,0.020652344,0.033084386
69,88,0.020960486,0.033101811
70,89,0.021283133,0.033124595
71,90,0.021583794,0.033120574
72,91,0.021823973,0.033059944
73,92,0.021969714,0.03292499
74,93,0.022019804,0.032718306
75,94,0.021985606,0.032467774
76,95,0.021879486,0.032227336
77,96,0.021714367,0.032073882
78,97,0.021503362,0.032101673
79,98,0.021259468,0.032416191
80,99,0.020995343,0.033128691
81,100,0.020723153,0.034351137
